,index,code,country,year,c_birthrate,c_population,w_birthrate,w_population,c_birth,w_birth,c_probability,c_birth_growth
48,12949,CAN,Canada,2008,11.5,33247298.0,22.683234615070898,72481498039.0,382343.927,1644114825.2704382,0.00023255305598081252,0.028789657156900628
49,13215,CAN,Canada,2009,11.4,33630069.0,22.535954435595652,73469594515.0,383382.78660000005,1655707434.3917282,0.00023155225291408247,0.0027170814720434144
50,13481,CAN,Canada,2010,11.2,34005902.0,22.328387590042517,74453524900.0,380866.1024,1662427161.4120815,0.00022910243001352833,-0.006564416264796535
51,13747,CAN,Canada,2011,11.0,34339221.0,22.113149247860438,75449934224.0,377731.431,1668435656.236565,0.00022639856058461147,-0.008230376450534926
52,14013,CAN,Canada,2012,11.0,34713395.0,21.935841740232757,76485538482.0,381847.345,1677774667.5576344,0.00022759155468467156,0.010896403270184818
53,14279,CAN,Canada,2013,10.9,35080992.0,21.542642688281113,77514853481.0,382382.8128,1669874791.5756464,0.00022898891265925062,0.00140230855867296
54,14545,CAN,Canada,2014,10.9,35434066.0,21.33566817855588,78540144528.0,386231.31940000004,1675706462.3452294,0.00023048864946158368,0.010064538653867139
55,14811,CAN,Canada,2015,10.7,35704498.0,20.92408216556063,79555062191.0,382038.12859999994,1664616657.9707701,0.0002295051697162028,-0.010856682483735725
56,15077,CAN,Canada,2016,10.6,36110803.0,20.579603531000462,80569282726.0,382774.51180000004,1658083895.2781641,0.00023085352489705285,0.0019275123210833467
57,15343,CAN,Canada,2017,10.3,36545075.0,20.076538364650727,81582207028.0,376414.2725,1637888309.2705202,0.00022981681374088735,-0.01661615155641094
58,15609,CAN,Canada,2018,10.1,37072620.0,19.65597569687182,82575293206.0,374433.462,1623097956.4192007,0.00023069061267630254,-0.005262315073347845
59,15875,CAN,Canada,2019,9.9,37618495.0,19.27929349287745,83549239718.0,372423.1005,1610770313.6300957,0.0002312080731489846,-0.005369075427345216
60,16141,CAN,Canada,2020,9.5,38028638.0,18.83869957534362,84481137565.0,361272.061,1591514770.3703115,0.0002269988741078034,-0.029941857755410695
61,16407,CAN,Canada,2021,9.7,38239864.0,18.570671029676976,85318264001.0,370926.6808,1584417413.585703,0.00023410919219863532,0.026723959149445475
62,16673,CAN,Canada,2022,9.0,38935934.0,18.16669152615074,86158208225.0,350423.406,1565209591.2694385,0.0002238827361872953,-0.055275815575680065
63,16939,CAN,Canada,2023,8.8,40083484.0,17.84316470634905,87035429932.0,352734.65920000005,1552987511.564578,0.00022713296570210846,0.006595601664804329
